log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
data_analysis__tier7_ingress__both__t7in_bw50__run1__4a595a5e.json,4a595a5e,data_analysis,1,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,False,1,0,1090.29,99,,1,False,2,3,5,heuristic,0,3
data_analysis__tier7_ingress__both__t7in_bw50__run2__4a59c0a2.json,4a59c0a2,data_analysis,2,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,False,1,0,1091.23,99,,1,False,2,3,5,heuristic,0,3
data_analysis__tier7_ingress__both__t7in_bw50__run3__1e644126.json,1e644126,data_analysis,3,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,False,1,0,1090.14,99,,1,False,2,3,5,heuristic,0,3
data_analysis__tier7_ingress__both__t7in_bw50__run4__043cf114.json,043cf114,data_analysis,4,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,413.88,483,5,5,True,0,0,0,heuristic,1714,3
data_analysis__tier7_ingress__both__t7in_bw50__run5__dc7e8a13.json,dc7e8a13,data_analysis,5,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,318.63,507,5,5,True,0,0,0,heuristic,1819,3
data_analysis__tier7_ingress__both__t7in_delay1000__run1__d1b60b99.json,d1b60b99,data_analysis,1,tier7_ingress__both,t7in_delay1000,ingress_subset,1000,1000,0,0,,,,,False,1,0,1108.19,99,,1,False,2,3,5,heuristic,0,3
data_analysis__tier7_ingress__both__t7in_delay1000__run2__0ecb1e6d.json,0ecb1e6d,data_analysis,2,tier7_ingress__both,t7in_delay1000,ingress_subset,1000,1000,0,0,,,,,False,1,0,1108.63,99,,1,False,2,3,5,heuristic,0,3
data_analysis__tier7_ingress__both__t7in_delay1000__run3__0eb2714d.json,0eb2714d,data_analysis,3,tier7_ingress__both,t7in_delay1000,ingress_subset,1000,1000,0,0,,,,,False,1,0,1108.2,99,,1,False,2,3,5,heuristic,0,3
data_analysis__tier7_ingress__both__t7in_delay1000__run4__463434bf.json,463434bf,data_analysis,4,tier7_ingress__both,t7in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,666.54,490,5,5,True,0,1,2,heuristic,1611,4
data_analysis__tier7_ingress__both__t7in_delay1000__run5__a278b37a.json,a278b37a,data_analysis,5,tier7_ingress__both,t7in_delay1000,ingress_subset,1000,1000,0,0,,,,,False,1,0,990.75,99,,1,False,2,3,5,heuristic,0,3
data_analysis__tier7_ingress__both__t7in_loss75__run1__2785675f.json,2785675f,data_analysis,1,tier7_ingress__both,t7in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,160.22,99,,1,False,2,1,5,heuristic,0,3
data_analysis__tier7_ingress__both__t7in_loss75__run2__c8035466.json,c8035466,data_analysis,2,tier7_ingress__both,t7in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,171.01,99,,1,False,2,0,5,heuristic,0,3
data_analysis__tier7_ingress__both__t7in_loss75__run3__200124ab.json,200124ab,data_analysis,3,tier7_ingress__both,t7in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,316.17,99,,1,False,2,1,5,heuristic,0,3
data_analysis__tier7_ingress__both__t7in_loss75__run4__27d1e1da.json,27d1e1da,data_analysis,4,tier7_ingress__both,t7in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,407.07,99,,1,False,2,1,5,heuristic,0,3
data_analysis__tier7_ingress__both__t7in_loss75__run5__e831bcaf.json,e831bcaf,data_analysis,5,tier7_ingress__both,t7in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,468.19,99,,1,False,2,1,5,heuristic,0,3
planning_decision__tier7_ingress__both__t7in_baseline__run1__bacee80b.json,bacee80b,planning_decision,1,tier7_ingress__both,t7in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,161.35,285,5,5,True,0,0,0,heuristic,863,3
planning_decision__tier7_ingress__both__t7in_baseline__run2__8a3eb275.json,8a3eb275,planning_decision,2,tier7_ingress__both,t7in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,184.59,298,5,5,True,0,0,0,heuristic,919,3
