log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier1_delay_extended__main_delay_d3000__run5__31472da3.json,31472da3,coding_task,5,tier1_delay_extended,main_delay_d3000,main_effect,3000,3000,0,0,,delay,,,True,3,0,127.28,300,5,5,True,0,0,0,heuristic,983,3
coding_task__tier1_delay_recheck__main_delay_d0250__run10__260f7d79.json,260f7d79,coding_task,10,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,151.4,331,5,5,True,0,0,0,heuristic,1098,3
coding_task__tier1_delay_recheck__main_delay_d0250__run11__d98084f2.json,d98084f2,coding_task,11,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,120.71,254,5,5,True,0,0,0,heuristic,814,3
coding_task__tier1_delay_recheck__main_delay_d0250__run12__13adff3b.json,13adff3b,coding_task,12,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,170.49,267,5,5,True,0,0,0,heuristic,853,3
coding_task__tier1_delay_recheck__main_delay_d0250__run13__1c9dabfa.json,1c9dabfa,coding_task,13,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,234.12,277,5,5,True,0,0,0,heuristic,913,3
coding_task__tier1_delay_recheck__main_delay_d0250__run14__1ea9a02e.json,1ea9a02e,coding_task,14,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,171.55,362,5,5,True,0,0,0,heuristic,1228,3
coding_task__tier1_delay_recheck__main_delay_d0250__run15__f0f9e30e.json,f0f9e30e,coding_task,15,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,158.22,284,5,5,True,0,0,0,heuristic,913,3
coding_task__tier1_delay_recheck__main_delay_d0250__run16__1dd342a9.json,1dd342a9,coding_task,16,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,180.83,298,5,5,True,0,0,0,heuristic,978,3
coding_task__tier1_delay_recheck__main_delay_d0250__run17__cb9870fa.json,cb9870fa,coding_task,17,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,147.84,311,5,5,True,0,0,0,heuristic,977,3
coding_task__tier1_delay_recheck__main_delay_d0250__run18__f2d82257.json,f2d82257,coding_task,18,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,102.92,307,5,5,True,0,0,0,heuristic,984,3
coding_task__tier1_delay_recheck__main_delay_d0250__run19__dd53dbd1.json,dd53dbd1,coding_task,19,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,116.07,269,5,5,True,0,0,0,heuristic,844,3
coding_task__tier1_delay_recheck__main_delay_d0250__run20__b2d5e24a.json,b2d5e24a,coding_task,20,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,142.02,324,5,5,True,0,0,0,heuristic,1107,3
coding_task__tier1_delay_recheck__main_delay_d0250__run6__db87d05e.json,db87d05e,coding_task,6,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,101.63,250,5,5,True,0,0,0,heuristic,796,3
coding_task__tier1_delay_recheck__main_delay_d0250__run7__7c27f380.json,7c27f380,coding_task,7,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,125.82,278,5,5,True,0,0,0,heuristic,908,3
coding_task__tier1_delay_recheck__main_delay_d0250__run8__8b65786f.json,8b65786f,coding_task,8,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,94.94,266,5,5,True,0,0,0,heuristic,843,3
coding_task__tier1_delay_recheck__main_delay_d0250__run9__e047307d.json,e047307d,coding_task,9,tier1_delay_recheck,main_delay_d0250,main_effect,250,250,0,0,,delay,,,True,3,0,241.12,300,5,5,True,0,0,0,heuristic,1003,3
coding_task__tier1_jitter_extended__main_jitter_j100__run1__7c8f87de.json,7c8f87de,coding_task,1,tier1_jitter_extended,main_jitter_j100,main_effect,50,0,100,0,,jitter,,,True,3,0,216.49,331,5,5,True,0,0,0,heuristic,1065,3
coding_task__tier1_jitter_extended__main_jitter_j100__run2__abe322a0.json,abe322a0,coding_task,2,tier1_jitter_extended,main_jitter_j100,main_effect,50,0,100,0,,jitter,,,True,3,0,122.28,319,5,5,True,0,0,0,heuristic,1072,3
coding_task__tier1_jitter_extended__main_jitter_j100__run3__fd22fe8a.json,fd22fe8a,coding_task,3,tier1_jitter_extended,main_jitter_j100,main_effect,50,0,100,0,,jitter,,,True,3,0,113.57,303,5,5,True,0,0,0,heuristic,987,3
coding_task__tier1_jitter_extended__main_jitter_j100__run4__a26a4be8.json,a26a4be8,coding_task,4,tier1_jitter_extended,main_jitter_j100,main_effect,50,0,100,0,,jitter,,,True,3,0,169.97,314,5,5,True,0,0,0,heuristic,1041,3
coding_task__tier1_jitter_extended__main_jitter_j100__run5__44d0be96.json,44d0be96,coding_task,5,tier1_jitter_extended,main_jitter_j100,main_effect,50,0,100,0,,jitter,,,True,3,0,101.82,362,5,5,True,0,0,0,heuristic,1213,3
coding_task__tier1_jitter_extended__main_jitter_j125__run1__4b2ed713.json,4b2ed713,coding_task,1,tier1_jitter_extended,main_jitter_j125,main_effect,50,0,125,0,,jitter,,,True,3,0,95.82,365,5,5,True,0,0,0,heuristic,1238,3
coding_task__tier1_jitter_extended__main_jitter_j125__run2__226f8e99.json,226f8e99,coding_task,2,tier1_jitter_extended,main_jitter_j125,main_effect,50,0,125,0,,jitter,,,True,3,0,143.45,278,5,5,True,0,0,0,heuristic,877,3
coding_task__tier1_jitter_extended__main_jitter_j125__run3__6f35f7f8.json,6f35f7f8,coding_task,3,tier1_jitter_extended,main_jitter_j125,main_effect,50,0,125,0,,jitter,,,True,3,0,133.8,355,5,5,True,0,0,0,heuristic,1220,3
coding_task__tier1_jitter_extended__main_jitter_j125__run4__1803e59a.json,1803e59a,coding_task,4,tier1_jitter_extended,main_jitter_j125,main_effect,50,0,125,0,,jitter,,,True,3,0,221.7,316,5,5,True,0,0,0,heuristic,1034,3
coding_task__tier1_jitter_extended__main_jitter_j125__run5__2bc3e87a.json,2bc3e87a,coding_task,5,tier1_jitter_extended,main_jitter_j125,main_effect,50,0,125,0,,jitter,,,True,3,0,163.9,214,5,5,True,0,0,0,heuristic,655,3
coding_task__tier1_jitter_extended__main_jitter_j150__run1__e6c3edbb.json,e6c3edbb,coding_task,1,tier1_jitter_extended,main_jitter_j150,main_effect,50,0,150,0,,jitter,,,True,3,0,94.47,208,5,5,True,0,0,0,heuristic,618,3
coding_task__tier1_jitter_extended__main_jitter_j150__run2__0b148d97.json,0b148d97,coding_task,2,tier1_jitter_extended,main_jitter_j150,main_effect,50,0,150,0,,jitter,,,True,3,0,249.17,315,5,5,True,0,0,0,heuristic,1031,3
coding_task__tier1_jitter_extended__main_jitter_j150__run3__0e57a390.json,0e57a390,coding_task,3,tier1_jitter_extended,main_jitter_j150,main_effect,50,0,150,0,,jitter,,,True,3,0,115.21,244,5,5,True,0,0,0,heuristic,768,3
coding_task__tier1_jitter_extended__main_jitter_j150__run4__cd66b932.json,cd66b932,coding_task,4,tier1_jitter_extended,main_jitter_j150,main_effect,50,0,150,0,,jitter,,,True,3,0,97.21,249,5,5,True,0,0,0,heuristic,800,3
coding_task__tier1_jitter_extended__main_jitter_j150__run5__ca897825.json,ca897825,coding_task,5,tier1_jitter_extended,main_jitter_j150,main_effect,50,0,150,0,,jitter,,,True,3,0,226.58,297,5,5,True,0,0,0,heuristic,987,3
coding_task__tier1_jitter_extended__main_jitter_j200__run1__ad2fe8e7.json,ad2fe8e7,coding_task,1,tier1_jitter_extended,main_jitter_j200,main_effect,50,0,200,0,,jitter,,,True,3,0,131.06,262,5,5,True,0,0,0,heuristic,832,3
coding_task__tier1_jitter_extended__main_jitter_j200__run2__9b19d0d6.json,9b19d0d6,coding_task,2,tier1_jitter_extended,main_jitter_j200,main_effect,50,0,200,0,,jitter,,,True,3,0,95.77,310,5,5,True,0,0,0,heuristic,1012,3
coding_task__tier1_jitter_extended__main_jitter_j200__run3__31cc8d5e.json,31cc8d5e,coding_task,3,tier1_jitter_extended,main_jitter_j200,main_effect,50,0,200,0,,jitter,,,True,3,0,89.86,353,5,5,True,0,0,0,heuristic,1213,3
coding_task__tier1_jitter_extended__main_jitter_j200__run4__979275d8.json,979275d8,coding_task,4,tier1_jitter_extended,main_jitter_j200,main_effect,50,0,200,0,,jitter,,,True,3,0,337.61,308,5,5,True,0,0,0,heuristic,1033,3
coding_task__tier1_jitter_extended__main_jitter_j200__run5__0e8ce8ad.json,0e8ce8ad,coding_task,5,tier1_jitter_extended,main_jitter_j200,main_effect,50,0,200,0,,jitter,,,True,3,0,97.63,206,5,5,True,0,0,0,heuristic,620,3
coding_task__tier1_loss_cliff__main_loss_loss55__run1__6e1890a9.json,6e1890a9,coding_task,1,tier1_loss_cliff,main_loss_loss55,main_effect,0,0,0,55,,loss,,,True,3,0,107.25,306,5,5,True,0,0,0,heuristic,998,3
coding_task__tier1_loss_cliff__main_loss_loss55__run2__72d1b100.json,72d1b100,coding_task,2,tier1_loss_cliff,main_loss_loss55,main_effect,0,0,0,55,,loss,,,True,3,0,392.95,331,5,5,True,0,0,0,heuristic,1127,3
