log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__r03_m04__sideB__three_day_tournament__factorial_loss__run1__2d8a7736.json,2d8a7736,coding_task,1,three_day_tournament,factorial_loss,factorial,0,0,0,5,,,r03_m04,B,True,3,0,419.3,303,5,5,True,0,0,0,heuristic,1011,3
coding_task__r04_m01__sideA__three_day_tournament__factorial_baseline__run1__8640961a.json,8640961a,coding_task,1,three_day_tournament,factorial_baseline,factorial,0,0,0,0,,,r04_m01,A,True,3,0,146.6,321,5,5,True,0,0,0,heuristic,1090,3
coding_task__r04_m01__sideB__three_day_tournament__factorial_delay__run1__a7034e73.json,a7034e73,coding_task,1,three_day_tournament,factorial_delay,factorial,300,300,0,0,,,r04_m01,B,True,3,0,119.52,215,5,5,True,0,0,0,heuristic,658,3
coding_task__r04_m02__sideA__three_day_tournament__factorial_delay_jitter__run1__7507c9a3.json,7507c9a3,coding_task,1,three_day_tournament,factorial_delay_jitter,factorial,300,300,30,0,,,r04_m02,A,True,3,0,282.93,313,5,5,True,0,0,0,heuristic,1018,3
coding_task__r04_m02__sideB__three_day_tournament__factorial_loss_jitter__run1__0e000abe.json,0e000abe,coding_task,1,three_day_tournament,factorial_loss_jitter,factorial,50,0,30,5,,,r04_m02,B,True,3,0,398.05,345,5,5,True,0,0,0,heuristic,1183,3
coding_task__r04_m03__sideA__three_day_tournament__factorial_delay_loss__run1__1bfd3006.json,1bfd3006,coding_task,1,three_day_tournament,factorial_delay_loss,factorial,300,300,0,5,,,r04_m03,A,True,3,0,137.93,240,5,5,True,0,0,0,heuristic,763,3
coding_task__r04_m03__sideB__three_day_tournament__factorial_loss__run1__85cb20f4.json,85cb20f4,coding_task,1,three_day_tournament,factorial_loss,factorial,0,0,0,5,,,r04_m03,B,True,3,0,272.0,315,5,5,True,0,0,0,heuristic,1059,3
coding_task__r04_m04__sideA__three_day_tournament__factorial_delay_loss_jitter__run1__6e32bfaf.json,6e32bfaf,coding_task,1,three_day_tournament,factorial_delay_loss_jitter,factorial,300,300,30,5,,,r04_m04,A,True,3,0,274.07,273,5,5,True,0,0,0,heuristic,899,3
coding_task__r04_m04__sideB__three_day_tournament__factorial_jitter__run1__dd0a8acd.json,dd0a8acd,coding_task,1,three_day_tournament,factorial_jitter,factorial,50,0,30,0,,,r04_m04,B,True,3,0,267.74,286,5,5,True,0,0,0,heuristic,929,3
coding_task__r05_m01__sideA__three_day_tournament__factorial_baseline__run1__3bfe1fd6.json,3bfe1fd6,coding_task,1,three_day_tournament,factorial_baseline,factorial,0,0,0,0,,,r05_m01,A,True,3,0,91.25,305,5,5,True,0,0,0,heuristic,992,3
coding_task__r05_m01__sideB__three_day_tournament__factorial_loss_jitter__run1__6e2a5d66.json,6e2a5d66,coding_task,1,three_day_tournament,factorial_loss_jitter,factorial,50,0,30,5,,,r05_m01,B,True,3,0,95.1,247,5,5,True,0,0,0,heuristic,783,3
coding_task__r05_m02__sideA__three_day_tournament__factorial_delay__run1__8ddb9e1c.json,8ddb9e1c,coding_task,1,three_day_tournament,factorial_delay,factorial,300,300,0,0,,,r05_m02,A,True,3,0,168.73,362,5,5,True,0,0,0,heuristic,1215,3
coding_task__r05_m02__sideB__three_day_tournament__factorial_loss__run1__cec9f73c.json,cec9f73c,coding_task,1,three_day_tournament,factorial_loss,factorial,0,0,0,5,,,r05_m02,B,True,3,0,110.21,288,5,5,True,0,0,0,heuristic,949,3
coding_task__r05_m03__sideA__three_day_tournament__factorial_delay_jitter__run1__886e653e.json,886e653e,coding_task,1,three_day_tournament,factorial_delay_jitter,factorial,300,300,30,0,,,r05_m03,A,True,3,0,127.04,252,5,5,True,0,0,0,heuristic,782,3
coding_task__r05_m03__sideB__three_day_tournament__factorial_jitter__run1__1375f65c.json,1375f65c,coding_task,1,three_day_tournament,factorial_jitter,factorial,50,0,30,0,,,r05_m03,B,True,3,0,128.65,253,5,5,True,0,0,0,heuristic,818,3
coding_task__r05_m04__sideA__three_day_tournament__factorial_delay_loss__run1__7bc3ab45.json,7bc3ab45,coding_task,1,three_day_tournament,factorial_delay_loss,factorial,300,300,0,5,,,r05_m04,A,True,3,0,251.59,355,5,5,True,0,0,0,heuristic,1199,3
coding_task__r05_m04__sideB__three_day_tournament__factorial_delay_loss_jitter__run1__ec36f92e.json,ec36f92e,coding_task,1,three_day_tournament,factorial_delay_loss_jitter,factorial,300,300,30,5,,,r05_m04,B,True,3,0,117.75,317,5,5,True,0,0,0,heuristic,1023,3
coding_task__r06_m01__sideA__three_day_tournament__factorial_baseline__run1__5a57416d.json,5a57416d,coding_task,1,three_day_tournament,factorial_baseline,factorial,0,0,0,0,,,r06_m01,A,True,3,0,109.14,276,5,5,True,0,0,0,heuristic,898,3
coding_task__r06_m01__sideB__three_day_tournament__factorial_loss__run1__32095f54.json,32095f54,coding_task,1,three_day_tournament,factorial_loss,factorial,0,0,0,5,,,r06_m01,B,True,3,0,116.59,290,5,5,True,0,0,0,heuristic,962,3
coding_task__r06_m02__sideA__three_day_tournament__factorial_loss_jitter__run1__32fd86b0.json,32fd86b0,coding_task,1,three_day_tournament,factorial_loss_jitter,factorial,50,0,30,5,,,r06_m02,A,True,3,0,115.88,338,5,5,True,0,0,0,heuristic,1155,3
coding_task__r06_m02__sideB__three_day_tournament__factorial_jitter__run1__787864c4.json,787864c4,coding_task,1,three_day_tournament,factorial_jitter,factorial,50,0,30,0,,,r06_m02,B,True,3,0,276.56,336,5,5,True,0,0,0,heuristic,1141,3
coding_task__r06_m03__sideA__three_day_tournament__factorial_delay__run1__23e80ce9.json,23e80ce9,coding_task,1,three_day_tournament,factorial_delay,factorial,300,300,0,0,,,r06_m03,A,True,3,0,98.61,251,5,5,True,0,0,0,heuristic,803,3
coding_task__r06_m03__sideB__three_day_tournament__factorial_delay_loss_jitter__run1__931b8a27.json,931b8a27,coding_task,1,three_day_tournament,factorial_delay_loss_jitter,factorial,300,300,30,5,,,r06_m03,B,True,3,0,149.78,313,5,5,True,0,0,0,heuristic,1027,3
