phase,n_total,n_valid,invalid_count,success_rate,quality_mean,ground_truth_mean,ground_truth_pass_rate,elapsed_mean,elapsed_sd,tokens_mean,retry_mean,timeout_rate,reviewer_rejection_mean,zone
three_day_baseline_extra,80,80,0,1.0,4.987,4.6,0.9,129.569,84.035,358.488,0,0.013,0.037,safe
three_day_combined_sample,400,400,0,0.94,4.966,4.45,0.855,240.846,301.448,369.743,0.142,0.115,0.018,warning
three_day_main_effect,840,840,0,0.993,4.968,4.614,0.91,159.807,482.752,356.146,0.017,0.023,0.015,safe
three_day_tournament,224,224,0,1.0,4.978,4.629,0.924,144.716,91.109,352.17,0,0.009,0.027,safe
